p_max,p_cum,id_station,operateur,amenageur,longitude,latitude
300.0,600.0,FRALLEGO900030,EV Cars,EV Cars,4.3862838,48.942875
320.0,960.0,FRIENP7E1N4IIBZDF,NW IECharge,NW IECharge,1.028091,47.419168
300.0,600.0,FRALLEGO900024,EV Cars,EV Cars,4.8050898,45.3420519
25.0,47.0,FRSE1PSE67SVDA,STATIONS-E,STATIONS-E,7.362016,48.739517
150.0,522.0,FRETIP17028A,E-Totem,E-TOTEM INFRADIV,-1.094893,46.13301
22.0,44.0,FRALLEGO700105,EV Cars,EV Cars,2.3725217,48.7543338
24.0,48.0,FRGLYPLYON133,IZIVIA,IZIVIA FMET 1,4.873976,45.77919
22.0,44.0,FRALLEGO900609,EV Cars,EV Cars,4.8480041,46.7986478
18.0,36.0,FRS77E77102001,Bouygues E&S,Ecocharge77,2.62648,48.233624
210.0,1882.0,FRVIAP151001,ENGIE Vianeo,ENGIE Vianeo,1.813087,50.934884
150.0,600.0,FRBMPP200351P,Bump,Bump,-0.467508,47.453359
150.0,150.0,FRGYMP23BZ4373A,GreenYellow eMobility,GreenYellow eMobility,4.7315067,44.5434439
300.0,600.0,FRALLEGO900023,EV Cars,EV Cars,1.3074744,45.7787925
150.0,300.0,FRIZFPFAST385,IZIVIA,IZIVIA FAST,-0.423114,49.164174
22.0,44.0,FRS77E77490001,Bouygues E&S,Ecocharge77,3.0927511,49.046368
75.0,200.0,FRALLEGO900255,EV Cars,EV Cars,-0.5404276,47.4886992
22.0,44.0,FRGYMPEVBP2227090,GreenYellow eMobility,GreenYellow eMobility,6.1061514,45.8893794
18.0,36.0,FRS77E77528001,Bouygues E&S,Ecocharge77,2.664648,48.571087
150.0,644.0,FRATLPFR00531,Atlante France,Atlante,6.97419,43.62099
350.0,1543.0,FRIOYP54I7UPQKP2Y2,Ionity,Ionity,6.156463,45.547641
300.0,600.0,FRALLEGO900450,EV Cars,EV Cars,2.9144817,42.7743558
150.0,522.0,FRETIP38455A,E-Totem,E-TOTEM INFRADIV,0.859922,46.566834
25.0,47.0,FRSE1PSE60PFDA,STATIONS-E,STATIONS-E,2.977496,49.346646
150.0,600.0,FRIZFPFAST189,IZIVIA,IZIVIA FAST,4.829272,45.69377
22.08,88.32,FRLMSP89633933,ENGIE Vianeo,ENGIE Vianeo,0.959227,49.540126
180.0,360.0,FRIZFPFAST161,IZIVIA,IZIVIA FAST,2.997168,42.607853
22.0,44.0,FRALLEGO999080,EV Cars,EV Cars,3.9299633,43.5814612
300.0,600.0,FRALLEGO800153,Allego,Allego,3.1426482,45.757447
150.0,522.0,FRETIP02789A,E-Totem,E-TOTEM INFRADIV,3.918619,49.840211
24.0,46.0,FRSE1PSE36DABA,STATIONS-E,STATIONS-E,1.706612,46.84097
24.0,24.0,FRALLPGO000026,Allego,Allego,1.331644,43.991232
180.0,722.3,FRETIP34172S,E-Totem,E-Totem,3.839694,43.625214
300.0,2488.0,FRVIAP122080,ENGIE Vianeo,ENGIE Vianeo,-1.54864,47.27649
18.0,36.0,FRS77E77428001,Bouygues E&S,Ecocharge77,2.915421,48.558926
150.0,622.0,FRELCPFREEH,Electra,Electra,2.336357,48.75416
2.3,4.6,FRESEPS42110AA,E-Totem,E-Totem,4.541094,45.488731
320.0,960.0,FRIENP1CR0MKLGVDN,NW IECharge,NW IECharge,-3.587671,48.606899
150.0,600.0,FRIZFPFAST339,IZIVIA,IZIVIA FAST,1.627114,50.507121
50.0,50.0,FRALLPGO000107,Allego,Allego,6.06989,46.300116
24.0,24.0,FRGLYPLYON194,IZIVIA,IZIVIA FMET 1,4.858505,45.674233
25.0,47.0,FRSE1PSE77MXXA,STATIONS-E,STATIONS-E,2.899856,48.948511
22.0,22.0,FRS77E77269002,Bouygues E&S,Ecocharge77,2.70193128005346,48.5488149892175
150.0,300.0,FRIZFPFAST257,IZIVIA,IZIVIA FAST,2.250592,48.18416
150.0,300.0,FRALLEGO900015,EV Cars,EV Cars,2.4110456,50.6361673
25.0,47.0,FRSE1PSE62HSXA,STATIONS-E,STATIONS-E,2.03539,50.381497
320.0,960.0,FRIENP8GLAQBIRXA1K,NW IECharge,NW IECharge,-1.04947,48.12164
400.0,1622.0,FRELCPSPRBU,Electra,Electra,4.965977,45.714489
22.0,44.0,FRGYMPEVBP2227103,GreenYellow eMobility,GreenYellow eMobility,-1.8271026,48.0817131
25.0,47.0,FRSE1PSE80PLCA,STATIONS-E,STATIONS-E,2.310273,49.949351
100.0,224.3,FRETIP60636A,E-Totem,E-Totem,2.867446,49.483851
22.0,88.0,FRESEPS42218AF,E-Totem,SEMOB,4.392778,45.457303
22.0,44.0,FRALLEGO900604,EV Cars,EV Cars,7.386218,47.7713958
22.0,44.0,FRALLEGO900728,EV Cars,EV Cars,2.2761886,48.6698329
150.0,413.0,FRE04POAZS244,IZIVIA,IZIVIA EXPRESS,-1.99055,48.625582
150.0,300.0,FRALLEGO900185,EV Cars,EV Cars,4.8837784,45.7690424
50.0,50.0,FRALLPGO000153,Allego,Allego,-1.131546,44.608463
24.0,46.0,FRS77E77371001,Bouygues E&S,Ecocharge77,2.99187063513061,48.8126645248484
25.0,47.0,FRESEPS42207AJ,E-Totem,SEMOB,4.516985,45.473127
300.0,1822.0,FRELCPALBIM,Electra,Electra,6.38197,45.661785
47.0,94.0,FRSE1PSE77CVZB,STATIONS-E,STATIONS-E,2.566323,48.649059
22.0,44.0,FRALLEGO900754,EV Cars,EV Cars,2.9144817,42.7743558
200.0,400.0,FRE04POAZS320,IZIVIA,IZIVIA EXPRESS,3.13562,45.752372
100.0,200.0,FRGLYPLYON206,IZIVIA,IZIVIA FMET 1,4.898927,45.765822
50.0,122.0,FRVIAP142042,ENGIE Vianeo,ENGIE Vianeo,5.373241,43.265483
150.0,300.0,FRIZFPFAST72,IZIVIA,IZIVIA FAST,3.068711,49.732231
24.0,46.0,FRSE1PSE86JPPA,STATIONS-E,STATIONS-E,0.686207,46.233603
320.0,960.0,FRIENP34TK5CJX87YV,NW IECharge,NW IECharge,6.25578,48.60848
22.0,44.0,FRALLEGO900677,EV Cars,EV Cars,3.9405091,43.6414355
22.0,90.3,FRETIP01283D,E-Totem,E-Totem,5.65763,46.258292
300.0,2400.0,FRATLPFR00941,Atlante France,Atlante,-1.77103,48.13944
75.0,200.0,FRALLEGO900257,EV Cars,EV Cars,2.6076356,48.7762873
320.0,960.0,FRIENP1ABNLVR971BW,NW IECharge,NW IECharge,-3.038878,47.878668
320.0,960.0,FRIENP1UMAK74ME9N9,NW IECharge,NW IECharge,1.566907,49.016752
150.0,150.0,FRGYMP23BZ4370A,GreenYellow eMobility,GreenYellow eMobility,-0.5866688,44.784462
24.0,24.0,FRIXLPLIMO42,IZIVIA,IZIVIA EXPRESS,1.25867,45.846338
22.0,88.0,FRBMPP198512P50019177627751,Bump,Bump,4.70983,44.059682
2.3,4.6,FRESEPS42305AA,E-Totem,E-Totem,4.434742,45.481696
300.0,2532.0,FRVIAP122062,ENGIE Vianeo,ENGIE Vianeo,5.123649,43.62839
22.08,88.32,FRLMSP89618708,ENGIE Vianeo,ENGIE Vianeo,3.655284,49.568413
22.0,44.0,FRBMPP200350P50019614019442,Bump,Bump,4.796693,43.640109
400.0,4022.0,FRELCPVSYAU,Electra,Electra,2.252881,48.704221
22.0,44.0,FRS77E77037003,Bouygues E&S,Ecocharge77,2.707299,48.468041
300.0,600.0,FRALLEGO900150,EV Cars,EV Cars,1.753875,48.9904164
150.0,300.0,FRIZFEFAST343,IZIVIA,IZIVIA FAST,6.064203,48.901054
75.0,200.0,FRALLEGO900472,EV Cars,EV Cars,4.9312066,45.7477819
22.0,154.2,FRBMPP11936P,Bump,Bump,2.039209,48.793219
24.0,46.0,FRSE1PSE25RABA,STATIONS-E,STATIONS-E,6.720348,47.159085
18.0,36.0,FRS77E77386001,Bouygues E&S,Ecocharge77,2.639528,48.346184
200.0,400.0,FRE04POAZS276,IZIVIA,IZIVIA EXPRESS,2.400409,48.66402
22.0,134.3,FRETIP34337A,E-Totem,E-Totem,3.863793,43.529618
24.0,46.0,FRSE1PSE55CABA,STATIONS-E,STATIONS-E,5.074543,49.10672
50.0,50.0,FRGLYPLYON65,IZIVIA,IZIVIA FMET 1,4.936937,45.74728
22.0,112.3,FRETIP42187A,E-Totem,E-Totem,4.085524,46.047743
24.0,24.0,FRIXLPLIMO20,IZIVIA,IZIVIA EXPRESS,1.229377,45.824896
50.0,100.0,FRALLEGO800669,Allego,Allego,3.516575,50.3397635
25.0,47.0,FRSE1PSE62HBXA,STATIONS-E,STATIONS-E,2.040842,50.375815
22.0,132.0,FRETIP64335A,E-Totem,E-TOTEM INFRADIV,-0.445416,43.329077
300.0,2722.0,FRATLPFR00349,Atlante France,Atlante,5.99,47.28407
22.0,44.0,FRESEPS42218AL,E-Totem,SEMOB,4.413217,45.420522
24.0,46.0,FRSE1PSE03DACA,STATIONS-E,STATIONS-E,3.685047,46.520025
24.0,24.0,FRALLPGO000017,Allego,Allego,2.206632,43.591276
150.0,622.0,FRELCPSJVHC,Electra,Electra,3.83571,43.567505
22.0,44.0,FRALLEGO900574,EV Cars,EV Cars,-1.6038396,47.2220687
7.0,16.3,FRESEPS42218AA,E-Totem,E-Totem,4.387767,45.453219
24.0,24.0,FRSIGESIGE274,IZIVIA,SYNDICAT INTERCOMMUNAL POUR LE GAZ ET L'ELECTRICITE EN ILE-DE-FRANCE (SIGEIF) (SIGEIF),2.223943,48.87384
225.0,2022.0,FRELCPAUBFV,Electra,Electra,1.859355,48.96404
150.0,644.0,FRETIP31555A,E-Totem,E-TOTEM INFRADIV,1.49211,43.584461
300.0,600.0,FRALLEGO900141,EV Cars,EV Cars,1.1752576,49.014792
320.0,960.0,FRIENP6ON91M32CF8H,NW IECharge,NW IECharge,-4.227018,48.034307
150.0,644.0,FRATLPFR00293,Atlante France,Atlante,2.00778,44.360962
320.0,960.0,FRIENP1O7WIR772NE9,NW IECharge,NW IECharge,5.04973,45.83837
150.0,300.0,FRIZFPFAST246,IZIVIA,IZIVIA FAST,-4.052514,48.514918
24.0,46.0,FRSE1PSE57FAHA,STATIONS-E,STATIONS-E,6.111513,49.296507
300.0,1244.0,FRELCPABGCA,Electra,Electra,5.569803,43.301611
18.0,36.0,FRS77E77046001,Bouygues E&S,Ecocharge77,2.435735,48.257244
25.0,47.0,FRSE1PSE91SABA,STATIONS-E,STATIONS-E,2.073274,48.433315
150.0,522.0,FRETIP38421A,E-Totem,E-TOTEM IRVE LAPEYRE,5.769092,45.18327
22.0,44.0,FRALLEGO700113,EV Cars,EV Cars,2.3725217,48.7543338
25.0,47.0,FRSE1PSE91DSUA,STATIONS-E,STATIONS-E,2.430048,48.682045
22.0,90.3,FRETIP34198C,E-Totem,E-Totem,3.957154,43.565211
150.0,622.0,FRATLPSOME5101,Atlante France,Atlante,2.277671,50.731311
22.0,44.0,FRALLEGO900747,EV Cars,EV Cars,-0.3274832,49.2053413
22.0,44.0,FRS77E77316004,Bouygues E&S,Ecocharge77,2.790265244,48.3798541
320.0,960.0,FRIENP2TJJZIC5UXDH,NW IECharge,NW IECharge,-0.595775,43.388968
2.3,4.6,FRELMP72181B,E-Totem,E-Totem,0.192124,48.000458
150.0,600.0,FRIZFPFAST503,IZIVIA,IZIVIA FAST,0.660424,45.194712
80.0,160.0,FRALLEGO600001,Allego,Allego,4.9196796,45.7223709
300.0,2250.5,FRVIAP103113,ENGIE Vianeo,ENGIE Vianeo,-0.325674,48.023719
400.0,3822.0,FRELCPAABOU,Electra,Electra,4.871526,45.07747
22.0,22.0,FRELCPWM9C,Electra,Electra,6.255618,46.192973
300.0,300.0,FRELCPS7F6,Electra,Electra,-1.429938,46.69925
300.0,2532.0,FRVIAP122097,ENGIE Vianeo,ENGIE Vianeo,0.16551,48.05181
150.0,322.0,FRIZFEFAST485,IZIVIA,IZIVIA FAST,1.392457,43.567513
300.0,600.0,FRALLEGO700207,EV Cars,EV Cars,2.3725217,48.7543338
22.0,44.0,FRGYMPEVBP2227134,GreenYellow eMobility,GreenYellow eMobility,-1.848072,47.9346338
150.0,300.0,FRALLEGO900397,EV Cars,EV Cars,4.7477241,44.5318485
150.0,300.0,FRIZFPFAST578,IZIVIA,IZIVIA FAST,2.27678,48.670975
22.0,44.0,FRALLEGO900578,EV Cars,EV Cars,-3.1647197,48.5620649
24.0,46.0,FRS77E77475004,Bouygues E&S,Ecocharge77,2.9472315,48.958157
300.0,600.0,FRALLEGO900029,EV Cars,EV Cars,4.0546872,48.2827573
75.0,150.0,FRALLEGO900081,EV Cars,EV Cars,0.2105788,45.6363367
75.0,300.0,FRVIAP142093,ENGIE Vianeo,ENGIE Vianeo,5.043435,43.411943
200.0,1022.0,FRELCPARGHC,Electra,Electra,2.241461,48.935171
300.0,600.0,FRALLEGO800034,Allego,Allego,1.5490342,43.4858396
18.0,36.0,FRS77E77385002,Bouygues E&S,Ecocharge77,3.238447,48.850102
22.0,44.0,FRALLEGO900605,EV Cars,EV Cars,4.0662542,49.2603568
320.0,960.0,FRIENPK5EY5KIWUSZ,NW IECharge,NW IECharge,5.368237,46.043417
22.0,44.0,FRETIP57672H,E-Totem,E-TOTEM INFRADIV,6.171781,49.367124
150.0,300.0,FRALLEGO900354,EV Cars,EV Cars,5.101636,47.3103185
22.0,44.0,FRALLEGO900566,EV Cars,EV Cars,-0.4806624,46.3179522
300.0,4584.5,FRVIAP102107,ENGIE Vianeo,ENGIE Vianeo,3.470008,50.339583
22.0,44.0,FRGYMPEVBP2227102,GreenYellow eMobility,GreenYellow eMobility,2.5319389,48.8333288
150.0,300.0,FRALLEGO900405,EV Cars,EV Cars,5.2416835,46.2002726
320.0,960.0,FRIENP6DFJEBP0K8Q9,NW IECharge,NW IECharge,3.163071,48.047523
18.0,36.0,FRS77E77403001,Bouygues E&S,Ecocharge77,3.324744,48.566856
200.0,822.0,FRELCPSDPRP,Electra,Electra,5.113016,43.628385
150.0,322.0,FRIZFPFAST495,IZIVIA,IZIVIA FAST,4.091705,49.911472
18.0,36.0,FRS77E77043001,Bouygues E&S,Ecocharge77,3.259898,48.895916
24.0,24.0,FRSIGESIGE243,IZIVIA,SYNDICAT INTERCOMMUNAL POUR LE GAZ ET L'ELECTRICITE EN ILE-DE-FRANCE (SIGEIF) (SIGEIF),2.22766,48.87125
150.0,300.0,FRALLEGO002128,Allego,Allego,3.8890099,43.5885649
150.0,487.0,FRALLP579G0Z2NCNPN,Allego,Allego,7.580187,48.539027
22.0,66.0,FRIOYP4520,Ionity,Ionity,1.440653,45.161043
150.0,300.0,FRALLEGO900442,EV Cars,EV Cars,2.9547239,48.3968311
150.0,300.0,FRIZFPFAST350,IZIVIA,IZIVIA FAST,4.863371,44.936711
22.0,90.29999995231628,FRETIP64122H,E-Totem,E-TOTEM INFRA BIARRITZ,-1.549589,43.461094
300.0,2488.0,FRVIAP122058,ENGIE Vianeo,ENGIE Vianeo,4.11895,46.4686
47.0,47.0,FRGYMTEST466C35B4STATIONID,GreenYellow eMobility,,4.0841762,43.5585578
22.08,44.16,FRLMSP89397418,ENGIE Vianeo,ENGIE Vianeo,6.398973,48.256221
22.0,44.0,FRALLEGO900529,EV Cars,EV Cars,5.224983,45.6138884
22.0,44.0,FRALLEGO700112,EV Cars,EV Cars,2.3725217,48.7543338
320.0,960.0,FRIENP1VPLEIT2FP72,NW IECharge,NW IECharge,-2.82394,48.2551
320.0,960.0,FRIENPPK1STG94VGL,NW IECharge,NW IECharge,5.363298,46.268508
24.0,24.0,FRSIGESIGE117,IZIVIA,SYNDICAT INTERCOMMUNAL POUR LE GAZ ET L'ELECTRICITE EN ILE-DE-FRANCE (SIGEIF) (SIGEIF),2.536884,48.919073
22.0,44.0,FRS77E77288008,Bouygues E&S,Ecocharge77,2.6541588,48.549869
50.0,50.0,FRE04POAZS214,IZIVIA,IZIVIA,1.379766,44.038248
350.0,2243.0,FRIOYP68HCSBY0J36O,Ionity,Ionity,1.79825,50.927053
150.0,300.0,FRALLEGO900356,EV Cars,EV Cars,4.7477241,44.5318485
50.0,102.3,FRETIP01185A,E-Totem,E-Totem,5.596063,45.980489
150.0,300.0,FRIZFPFAST255,IZIVIA,IZIVIA FAST,2.681883,48.870008
50.0,50.0,FRGLYPLYON166,IZIVIA,IZIVIA FMET 1,4.863127,45.758517
22.08,44.16,FRLMSP89443740,ENGIE Vianeo,ENGIE Vianeo,5.621525,45.263432
350.0,750.0,FRE04POAZS223,IZIVIA,IZIVIA,4.888315,44.966278
25.0,72.0,FRESEPS42218BI,E-Totem,SEMOB,4.383611,45.450606
18.0,36.0,FRS77E77257001,Bouygues E&S,Ecocharge77,3.026891,49.025196
150.0,300.0,FRALLEGO800195,Allego,Allego,7.4059873,48.0729606
300.0,600.0,FRALLEGO900060,EV Cars,EV Cars,7.0910245,43.6043175
300.0,600.0,FRALLEGO900129,EV Cars,EV Cars,5.9444121,45.5736183
