id_station,p_max,p_cum,operateur,amenageur,longitude,latitude
FRS55PYSH6BDCW,17.0,34.0,Modulo,Modulo Energies,5.324949,48.68465
FRLIBP18300275,22.0,22.0,Eoliberty,Eoliberty,2.830974,47.3275
FRS77P77404001,24.0,46.8,Bouygues E&S,Ecocharge77,3.253609,48.529092
FRS37PDDHUBGD0,17.0,34.0,Modulo,Modulo Energies,0.458515,47.346247
FRS55PNGHDWVJJ,17.0,34.0,Modulo,Modulo Energies,5.159173,48.76661
FRS28PU2JCHV77,17.0,17.0,Modulo,Modulo Energies,1.289339,48.06675
FRS37PRAALKFKS,17.0,34.0,Modulo,Modulo Energies,0.902142,47.587438
FRS41PEAB9GYI2,17.0,34.0,Modulo,Modulo Energies,1.378134,47.581612
FRS88PNA91YDLJ,24.0,46.0,Modulo,Modulo Energies,6.131019,48.28082
FRS28PHEDUGCGY,17.0,17.0,Modulo,Modulo Energies,1.339914,48.730228
FRS51PXVLCAAW0,17.0,34.0,Modulo,Modulo Energies,3.557073,48.73262
FRS37P3ZAPHOPE,17.0,34.0,Modulo,Modulo Energies,0.631503,47.496225
FRS37PTKTR8PL5,17.0,34.0,Modulo,Modulo Energies,0.319192,47.547601
FRS41P4543,17.0,17.0,Modulo,Modulo Energies,1.369809,47.567044
FRS51P14G2NOEO,17.0,34.0,Modulo,Modulo Energies,3.808141,48.92467
FRS51PKBN0IRT6,17.0,34.0,Modulo,Modulo Energies,4.036179,49.228438
FRS28PYULYTLZV,17.0,17.0,Modulo,Modulo Energies,1.382251,48.600134
FRS77P77252001,22.8,45.6,Bouygues E&S,Ecocharge77,2.66521,48.62632
FRS55PWRI457BD,17.0,34.0,Modulo,Modulo Energies,5.046276,48.716915
FRS51P95878,17.0,17.0,Modulo,Modulo Energies,4.040516,49.245067
FRS77P77348001,22.8,45.6,Bouygues E&S,Ecocharge77,2.654417,48.243546
FRS77P77016001,22.8,45.6,Bouygues E&S,Ecocharge77,2.706278,48.231504
FROZEP22V20351,22.0,44.0,OZECAR,OZECAR,8.6978225,42.1147314
FRS77P77316001,22.8,45.6,Bouygues E&S,Ecocharge77,2.850102,48.349255
FRS28PNZHFNDIZ,17.0,17.0,Modulo,Modulo Energies,1.387454,48.17977
FRS37P2TKJA8HZ,17.0,34.0,Modulo,Modulo Energies,0.462871,47.261803
FRLIBP021005989,7.4,14.8,Eoliberty,Eoliberty,3.258627,49.85989
FRS28PKEMVS7AU,17.0,17.0,Modulo,Modulo Energies,0.822767,48.319784
FRS51P9M7398IK,17.0,34.0,Modulo,Modulo Energies,3.54542,48.870452
FRLIBP382609208,22.0,44.0,Eoliberty,Eoliberty,5.253039,45.39208
FRS77P77148001,22.8,45.6,Bouygues E&S,Ecocharge77,3.068942,49.090664
FRS37P214048,17.0,17.0,Modulo,Modulo Energies,0.778562,47.368393
FRS77P77368001,22.8,45.6,Bouygues E&S,Ecocharge77,3.281679,48.539558
FRS41PIE0XOYZA,17.0,17.0,Modulo,Modulo Energies,1.250068,47.524286
FRN54PTDWGXKVH,22.0,44.0,Modulo,Modulo Energies,6.173022,48.689762
FRS37POWPWNXLK,17.0,34.0,Modulo,Modulo Energies,0.908191,47.58978
FRFASP51032,400.0,6400.0,Fastned France,Fastned France,2.616049,48.821806
FRFASP51038,400.0,4800.0,Fastned France,Fastned France,2.889418,42.672913
FRS51PAFSN3L5M,22.0,44.0,Modulo,Modulo Energies,4.597991,48.71551
FRS77P77493001,22.8,45.6,Bouygues E&S,Ecocharge77,2.835405,48.644661
FRS37PPCUZM5ZC,17.0,34.0,Modulo,Modulo Energies,0.57854,47.498193
FRS37PPPGFPOFH,17.0,34.0,Modulo,Modulo Energies,0.670714,47.569643
FRS37PVDHKE64L,17.0,34.0,Modulo,Modulo Energies,0.697123,47.349275
FROZEPZPR293385,22.0,22.0,OZECAR,OZECAR,9.277737,41.604515
FRS41PDCDTDSWJ,17.0,34.0,Modulo,Modulo Energies,1.557391,47.273629
FRS55POXPVPNRZ,17.0,34.0,Modulo,Modulo Energies,5.270227,48.558649
FROZEPDE4040B1GPAC00021M,47.0,94.0,OZECAR,OZECAR,9.4013285,42.0192054
FRS88PYSKJDZM0,25.0,42.0,Modulo,Modulo Energies,6.87145,47.9399
FRS37PTRHWF3UG,17.0,34.0,Modulo,Modulo Energies,0.715108,47.305223
FRS41P4999,17.0,17.0,Modulo,Modulo Energies,1.400757,47.276675
FRS37P10700,17.0,17.0,Modulo,Modulo Energies,0.683976,47.421294
FRS37PBRTHQAOD,17.0,34.0,Modulo,Modulo Energies,0.142785,47.202358
FRN54PZMLJXEMG,22.0,88.0,Modulo,Modulo Energies,6.16836,48.6729
FRLIBP135007042,22.0,22.0,Eoliberty,Eoliberty,5.040671,43.37042
FRS77P77475001,22.8,45.6,Bouygues E&S,Ecocharge77,2.947197,48.958482
FRS77P77072001,22.8,45.6,Bouygues E&S,Ecocharge77,3.459796,48.54184
FRS77P77363003,22.8,45.6,Bouygues E&S,Ecocharge77,2.62940691555965,48.914569615281
FRN54PDZCFEXQK,22.0,44.0,Modulo,Modulo Energies,6.14207,48.69796
FRS77P77142003,22.8,45.6,Bouygues E&S,Ecocharge77,2.908856,48.858352
FRS08PFF7RCVV2,24.0,46.0,Modulo,Modulo Energies,4.599876,49.873325
FRS37PPMH1WSHK,17.0,34.0,Modulo,Modulo Energies,0.352268,47.267778
FRS77P77288008,22.8,45.6,Bouygues E&S,Ecocharge77,2.6541588,48.549869
FRS77P77306002,24.0,46.8,Bouygues E&S,Ecocharge77,2.686769,48.596839
FRS37P5XGLJVLP,17.0,34.0,Modulo,Modulo Energies,0.47541,47.615922
FRS37PWUMFWY4R,17.0,34.0,Modulo,Modulo Energies,0.745838,47.441886
FRS08PTMUUK5CZ,24.0,46.0,Modulo,Modulo Energies,4.807788,50.10205
FRS77P77284001,22.8,45.6,Bouygues E&S,Ecocharge77,2.902139,48.943699
FRFASP50806,300.0,2400.0,Fastned France,Fastned France,1.63311,48.992331
FROZEPACE0057811,22.0,44.0,OZECAR,OZECAR,9.1562973,41.387721
FRS37PHOLMUDSF,17.0,34.0,Modulo,Modulo Energies,1.208122,47.177905
FRS37PPQP9GH3N,17.0,17.0,Modulo,Modulo Energies,0.919147,47.542562
FRS77P77027001,22.8,45.6,Bouygues E&S,Ecocharge77,2.478393,48.139336
FRS77E77291001,18.0,36.0,Bouygues E&S,Ecocharge77,2.591242,49.017696
FRS28P6KFKEOZS,22.0,22.0,Modulo,Modulo Energies,1.48405,48.447249
FRS28PKNURUXPU,17.0,17.0,Modulo,Modulo Energies,1.322385,48.676224
FRFASP50825,300.0,2400.0,Fastned France,Fastned France,2.873564,50.173438
FRFASP50561,300.0,1200.0,Fastned France,Fastned France,5.332896,47.179275
FRS28P0XT3QXZM,17.0,17.0,Modulo,Modulo Energies,1.240442,48.760826
FRS08PYTISTPLR,24.0,46.0,Modulo,Modulo Energies,4.842865,49.883542
FRS41PULPBYWLO,17.0,34.0,Modulo,Modulo Energies,1.447639,47.639409
FRS37P215555,17.0,17.0,Modulo,Modulo Energies,1.096377,47.181837
FRS41P4867,17.0,17.0,Modulo,Modulo Energies,1.171846,47.501399
FRS37PCKUNWBJP,17.0,34.0,Modulo,Modulo Energies,0.744771,47.545012
FROZEP231258211,22.0,44.0,OZECAR,OZECAR,5.4699916,43.5137802
FRS51PA18QIUYO,17.0,34.0,Modulo,Modulo Energies,4.531267,49.130925
FRS88PCNM9EL3Y,25.0,47.0,Modulo,Modulo Energies,6.52264,48.0588
FRS77P77453001,22.8,45.6,Bouygues E&S,Ecocharge77,2.750641,48.52702
FRS41PBBAWQLNA,22.0,44.0,Modulo,Modulo Energies,1.341651,47.448915
FRS37P3M8KBRKV,17.0,34.0,Modulo,Modulo Energies,1.013968,47.100724
FRFASP50828,300.0,2400.0,Fastned France,Fastned France,2.864158,50.261485
FRS08PN6WLEU1U,24.0,46.0,Modulo,Modulo Energies,4.99298,49.651375
FRS08P188242,17.0,17.0,Modulo,Modulo Energies,4.63894,49.649323
FRS77P77095001,22.8,45.6,Bouygues E&S,Ecocharge77,2.760311,48.971008
FRS08P188243,17.0,17.0,Modulo,Modulo Energies,4.63894,49.649323
FRS37PYKBWMNXD,17.0,34.0,Modulo,Modulo Energies,1.011337,47.132751
FRS55PA7SWLY8L,17.0,34.0,Modulo,Modulo Energies,5.400957,49.342913
FRS77P77447001,22.8,45.6,Bouygues E&S,Ecocharge77,2.549188,48.557755
FRS77P77447003,24.0,46.8,Bouygues E&S,Ecocharge77,2.5476768,48.558127
FRS55P2KWT4CR0,17.0,34.0,Modulo,Modulo Energies,5.381737,49.155459
FRS37PI16UYLXB,17.0,17.0,Modulo,Modulo Energies,0.649559,47.659527
FRS37PSILOJ6LH,17.0,34.0,Modulo,Modulo Energies,0.183013,47.205516
FRS77P77227001,22.8,45.6,Bouygues E&S,Ecocharge77,3.349335,48.483391
FRS77P77096001,22.8,45.6,Bouygues E&S,Ecocharge77,2.700847,48.488678
FRS51PH3UTDK4X,17.0,34.0,Modulo,Modulo Energies,3.991867,48.753599
FRS41PG9KGOQ7P,17.0,34.0,Modulo,Modulo Energies,1.428741,47.958865
FRS37P68139,11.0,11.0,Modulo,Modulo Energies,0.670825,47.431241
FRN54P8TZK3GSW,22.0,78.0,Modulo,Modulo Energies,6.14581,48.6494
FRS77P77389004,24.0,46.8,Bouygues E&S,Ecocharge77,2.6607771,48.5221692
FRS08P46461,17.0,17.0,Modulo,Modulo Energies,4.2676,49.4177
FRS41PDMHJKPT4,11.0,22.0,Modulo,Modulo Energies,1.29412,47.822077
FRFASP51048,400.0,2400.0,Fastned France,Fastned France,4.9775,43.497694
FRS37PUUIX4RT4,17.0,34.0,Modulo,Modulo Energies,1.218024,47.092178
FRS77P77269003,24.0,92.39999999999999,Bouygues E&S,Ecocharge77,2.70106248582935,48.5491277815743
FRFASP50813,300.0,1200.0,Fastned France,Fastned France,6.167004,45.999881
FRS08P129231,17.0,17.0,Modulo,Modulo Energies,4.54027,49.654708
FRS28P3EQDDXHQ,17.0,17.0,Modulo,Modulo Energies,1.167616,48.211401
FROZEP26793053,22.0,44.0,OZECAR,OZECAR,9.444437,42.000321
FRS77P77053003,22.8,45.6,Bouygues E&S,Ecocharge77,2.607417,48.690407
FRS51P9VI5SOGN,22.0,44.0,Modulo,Modulo Energies,4.591346,48.726232
FRS77P77306001,24.0,46.8,Bouygues E&S,Ecocharge77,2.669444,48.592321
FRS77P77389003,22.8,45.6,Bouygues E&S,Ecocharge77,2.662989,48.519701
FRS41PNPYYCBLX,22.0,88.0,Modulo,Modulo Energies,1.445571,47.432981
FRS37PWZSRFETX,17.0,34.0,Modulo,Modulo Energies,0.769341,47.22798
FRS88PJIVPA6GL,25.0,47.0,Modulo,Modulo Energies,5.831397,48.20989
FRZUNP5909246146811129817,400.0,6555.099999999999,Zunder,Zunder,-0.849669,44.361165
FRGSPP89882058,22.08,47.839999999999996,Greenspot,Greenspot,-1.217409,45.814282
FRS55P67N0BUJU,17.0,34.0,Modulo,Modulo Energies,5.387714,49.15923
FRS77P77249001,22.8,45.6,Bouygues E&S,Ecocharge77,2.6151806,48.7471803
FRS37P10697,17.0,17.0,Modulo,Modulo Energies,0.676511,47.384392
FRS28PEJKWDCAY,17.0,17.0,Modulo,Modulo Energies,1.491615,48.450232
FROZEPZPR293472,22.0,22.0,OZECAR,OZECAR,9.165896712,41.389000594
FRS37PELOBFB2N,17.0,17.0,Modulo,Modulo Energies,0.582874,47.053437
FRS77P77060001,24.0,92.39999999999999,Bouygues E&S,Ecocharge77,2.430137,48.28693
FRS55PH6QI7RKD,17.0,68.0,Modulo,Modulo Energies,5.167409,48.768588
FRLIBP60800235,22.0,176.0,Eoliberty,Eoliberty,2.898113,49.2235
FRS28PVWJVI210,22.0,22.0,Modulo,Modulo Energies,0.991151,48.31192
FRS37PJZ6X9GWH,17.0,34.0,Modulo,Modulo Energies,0.547499,47.547449
FRS41PQFUQWTQB,22.0,39.0,Modulo,Modulo Energies,0.896907,47.982211
FRS88P8YODXYHJ,25.0,47.0,Modulo,Modulo Energies,6.448257,48.169441
FRS37P7PMSTOHM,17.0,34.0,Modulo,Modulo Energies,0.556317,47.383873
FRS51P0I9CHTPV,17.0,34.0,Modulo,Modulo Energies,4.730889,48.691364
FROZEP25302494,22.0,22.0,OZECAR,OZECAR,9.4369025,42.6173191
FRS28PKDPHVNQH,17.0,34.0,Modulo,Modulo Energies,1.355194,48.720645
FRFASP50868,400.0,2800.0,Fastned France,Fastned France,2.634058,48.560492
FRS28P7ADZO0YR,17.0,17.0,Modulo,Modulo Energies,1.494161,48.343955
FRS28PETFHFJOK,17.0,17.0,Modulo,Modulo Energies,1.679155,48.605856
FRS77P77483001,22.8,45.6,Bouygues E&S,Ecocharge77,2.924843,49.002518
FRS88PDDHPV2AH,25.0,47.0,Modulo,Modulo Energies,6.88182,48.0713
FRS37PLQHCPVWD,17.0,34.0,Modulo,Modulo Energies,0.787445,47.141172
FROZEP26670304,22.0,176.0,OZECAR,OZECAR,8.9233124,42.6282833
FRS28PMPEFW80U,17.0,17.0,Modulo,Modulo Energies,1.242347,48.58155
FRS55PGYVWG2SI,22.0,44.0,Modulo,Modulo Energies,5.302759,48.70144
FRFASP50815,300.0,4800.0,Fastned France,Fastned France,2.552983,49.071747
FRS37PHX4OXQKJ,17.0,34.0,Modulo,Modulo Energies,0.729634,47.111991
FROZEP26793048,7.4,14.8,OZECAR,OZECAR,9.264623,41.9260883
FRS41PUADLZ2SZ,22.0,44.0,Modulo,Modulo Energies,0.862056,47.752657
FRS41PNMN0GZBI,17.0,34.0,Modulo,Modulo Energies,1.333499,47.58445
FRS08P0ZEOJU78,17.0,34.0,Modulo,Modulo Energies,4.04481,49.428454
FRS41PUI4AIHNM,22.0,44.0,Modulo,Modulo Energies,1.344566,47.602342
FRS51PLG9BB6IZ,17.0,34.0,Modulo,Modulo Energies,4.404936,48.917944
FRS77P77272001,100.0,245.60000000000002,Bouygues E&S,Ecocharge77,3.1557051,48.5595831
FRS37PFX8CG98C,17.0,17.0,Modulo,Modulo Energies,0.918775,47.330537
FRLIBP022007053,50.0,72.0,Eoliberty,Eoliberty,3.330256,49.37053
FRS55PCDDSTMGI,17.0,34.0,Modulo,Modulo Energies,5.623041,48.690563
FRS77P77192002,24.0,46.8,Bouygues E&S,Ecocharge77,2.87067,48.70882
FRS51PP4PJ6XKC,22.0,44.0,Modulo,Modulo Energies,4.576576,48.72729
FRS77P77288007,22.8,45.6,Bouygues E&S,Ecocharge77,2.6788576,48.543662
FRFASP50682,300.0,1200.0,Fastned France,Fastned France,2.57393,48.360859
FRS55PDNKBHCFX,17.0,34.0,Modulo,Modulo Energies,5.591824,48.758457
FRS88PSCDCHXYK,25.0,47.0,Modulo,Modulo Energies,6.78891,47.8752
FRS28PPK7RGK4N,17.0,17.0,Modulo,Modulo Energies,1.48426,48.24397
FRFASP50605,300.0,1200.0,Fastned France,Fastned France,2.9315,48.4286
FROZEP25302490,22.0,44.0,OZECAR,OZECAR,9.3905775,41.9276419
FRS77P77398001,22.8,45.6,Bouygues E&S,Ecocharge77,3.29573,48.875221
FRS28PYBWASVZ9,17.0,34.0,Modulo,Modulo Energies,1.760127,48.462029
FRS77P77451001,22.8,45.6,Bouygues E&S,Ecocharge77,3.068419,48.92791
FRLIBP545409825,22.0,44.0,Eoliberty,Eoliberty,6.889904,48.49825
FRFASP50809,300.0,1200.0,Fastned France,Fastned France,4.788939,49.072318
FRS08POEYYJMXT,24.0,46.0,Modulo,Modulo Energies,5.264165,49.584589
FRLIBP187009742,50.0,72.0,Eoliberty,Eoliberty,2.440547,47.49742
FRFASP50938,400.0,3200.0,Fastned France,Fastned France,2.001091,49.060089
FRS41PEXVX36LC,17.0,34.0,Modulo,Modulo Energies,1.482925,47.350599
FROZEP22V20352,22.0,44.0,OZECAR,OZECAR,9.2790095,41.6074025
FRS37PXLSW3NVY,17.0,34.0,Modulo,Modulo Energies,0.96966,47.045349
FRS28PSHWXHZIF,17.0,17.0,Modulo,Modulo Energies,1.624898,48.271745
FRS08P46460,17.0,17.0,Modulo,Modulo Energies,4.2676,49.4177
FRS28PJGNOOV9X,17.0,17.0,Modulo,Modulo Energies,1.189542,48.208833
FRS28PGI0MIH2Y,17.0,17.0,Modulo,Modulo Energies,1.884251,48.200212
FRS41PYFVORXEX,17.0,34.0,Modulo,Modulo Energies,1.828502,47.282663
FRS77P77040001,22.8,45.6,Bouygues E&S,Ecocharge77,2.570593,48.525444
FRS28PZ9ZBDASB,17.0,17.0,Modulo,Modulo Energies,0.9805,48.138462
FRS37P4M6VDSS2,17.0,34.0,Modulo,Modulo Energies,0.995569,47.328019
FRS41PJOZ108DN,17.0,34.0,Modulo,Modulo Energies,1.369809,47.567044
FROZEP010243,7.4,7.4,OZECAR,OZECAR,8.85174,41.5404155
FROZEP221C1652,22.0,22.0,OZECAR,OZECAR,9.4376997,42.6286108
FRS88PPE462DMA,25.0,47.0,Modulo,Modulo Energies,5.78046,48.0684
FRS77P77478001,22.8,45.6,Bouygues E&S,Ecocharge77,3.070872,48.955073
FRS55PW8U0N5KP,17.0,34.0,Modulo,Modulo Energies,5.636671,49.213447
FRS37PZTOS9L4P,17.0,34.0,Modulo,Modulo Energies,1.022353,47.414657
FRLIBP802908040,22.0,44.0,Eoliberty,Eoliberty,1.760279,49.7804
FRS51PJNCSY5OC,17.0,34.0,Modulo,Modulo Energies,4.889667,48.946919
FRWA2SE33004,20.0,20.0,Fastned France,Fastned France,4.156034,45.679959
FRS77P77276001,22.8,45.6,Bouygues E&S,Ecocharge77,2.859685,48.926731
FRS77P77326001,22.8,45.6,Bouygues E&S,Ecocharge77,2.565315,48.580364
FRS77P77531001,22.8,45.6,Bouygues E&S,Ecocharge77,2.969121,48.282539
FRS37P221332,17.0,17.0,Modulo,Modulo Energies,1.111411,47.281329
FROZEP26429968,22.0,22.0,OZECAR,OZECAR,8.7587532,42.5576881
FRS41PX1HI9I2C,17.0,34.0,Modulo,Modulo Energies,2.150983,47.514688
FRS41PTKZPXLJN,17.0,34.0,Modulo,Modulo Energies,0.863548,48.035847
FRS08PKOLFV8RH,50.0,67.0,Modulo,Modulo Energies,4.821632,50.135799
FRS77P77194001,22.8,45.6,Bouygues E&S,Ecocharge77,2.961401,48.418995
FRS51P5QHJAUUE,17.0,34.0,Modulo,Modulo Energies,3.80268,49.182375
FRS77P77445001,22.8,45.6,Bouygues E&S,Ecocharge77,2.582113,48.596577
FRS28P141733,17.0,17.0,Modulo,Modulo Energies,1.742543,48.082374
FRS55PFFNXFNK2,17.0,68.0,Modulo,Modulo Energies,5.269623,48.977679
FRS28P3RGLH5EP,17.0,17.0,Modulo,Modulo Energies,1.481391,48.443547
FRS28PKAB78BZ2,17.0,17.0,Modulo,Modulo Energies,1.376063,48.741384
FRS51POZ5MCOVW,17.0,34.0,Modulo,Modulo Energies,4.120891,49.290951
FRS77P77175001,24.0,46.8,Bouygues E&S,Ecocharge77,2.62106068517595,48.66705812787814
FRS88PKMTW6JBK,25.0,47.0,Modulo,Modulo Energies,6.867606,48.069902
FRS37PDK18RAIH,17.0,34.0,Modulo,Modulo Energies,1.101591,47.05776
FRFASP50560,300.0,2400.0,Fastned France,Fastned France,6.728741,47.440536
FRS37P4ERO7Q5Z,17.0,34.0,Modulo,Modulo Energies,0.909736,47.355949
FRS37P41LNDA9S,17.0,34.0,Modulo,Modulo Energies,0.390003,47.635688
FRS41PKFY2FLHV,17.0,34.0,Modulo,Modulo Energies,1.560186,47.685381
FRS77P77101001,22.8,45.6,Bouygues E&S,Ecocharge77,3.096748,48.419575
FRS37P220302,17.0,17.0,Modulo,Modulo Energies,0.649559,47.659527
FRS37P163850,17.0,17.0,Modulo,Modulo Energies,0.777079,47.363938
FRS37PGGNLXOD1,17.0,34.0,Modulo,Modulo Energies,0.477806,47.103448
FRS77P77357001,22.8,45.6,Bouygues E&S,Ecocharge77,3.079428,48.656075
FRFASP50983,400.0,3200.0,Fastned France,Fastned France,2.82606,50.548575
FRS77P77226001,22.8,45.6,Bouygues E&S,Ecocharge77,2.765274,48.448474
FRS88P1AKTKSOW,25.0,47.0,Modulo,Modulo Energies,6.978697,48.26783
FROZEP25302493,22.0,22.0,OZECAR,OZECAR,8.7583108,42.5582515
FRS51PLUETKZIZ,50.0,72.0,Modulo,Modulo Energies,4.581681,48.728361
FRS77P77152001,22.8,45.6,Bouygues E&S,Ecocharge77,2.635144,48.515441
FRS37PTBSRRUYD,17.0,34.0,Modulo,Modulo Energies,0.171081,47.211405
FRZUNP5532650011359807140,400.0,3200.0,Zunder,Zunder,5.25525988,48.66173656
FRS77P77352001,22.8,45.6,Bouygues E&S,Ecocharge77,2.772659,48.660645
FRS77P77300001,22.8,45.6,Bouygues E&S,Ecocharge77,2.985625,48.941795
FRS51PXG7ORVKE,17.0,34.0,Modulo,Modulo Energies,4.625279,48.716747
FRS28PIBGJNP09,17.0,17.0,Modulo,Modulo Energies,1.381954,48.840804
FRFASP50940,400.0,1600.0,Fastned France,Fastned France,2.615517,46.38279
FRFASP50814,300.0,4800.0,Fastned France,Fastned France,2.551434,49.073179
FRS37P68138,11.0,11.0,Modulo,Modulo Energies,0.670825,47.431241
FRS55PQOYL6RVP,17.0,34.0,Modulo,Modulo Energies,5.172886,48.781097
FRLIBP517009084,50.0,72.0,Eoliberty,Eoliberty,3.763156,49.09084
FRS08PCSGH4TQ8,24.0,46.0,Modulo,Modulo Energies,4.626666,49.890051
FRFASP50933,400.0,3200.0,Fastned France,Fastned France,-2.129024,47.930015
FRFASP50833,300.0,2400.0,Fastned France,Fastned France,3.063073,48.970463
FRZUNP1033350085456298930,400.0,1600.0,Zunder,Zunder,4.05340229,48.26970887
FRFASP50865,300.0,2400.0,Fastned France,Fastned France,2.351174,48.622717
FROZEP26670298,22.0,44.0,OZECAR,OZECAR,9.4048518,42.0162267
FRS28PGP6V62UT,22.0,44.0,Modulo,Modulo Energies,1.674677,48.610027
FRS77P77019001,22.8,45.6,Bouygues E&S,Ecocharge77,3.146731,48.398796
FRS55PR0TR7YTD,17.0,34.0,Modulo,Modulo Energies,5.114099,48.937863
FRS08PTWCPXHMP,24.0,46.0,Modulo,Modulo Energies,4.539584,49.841842
FRS08PTF7KTAEP,24.0,46.0,Modulo,Modulo Energies,4.870171,49.339947
FRS37PGHBTCUXH,17.0,34.0,Modulo,Modulo Energies,0.814847,47.357802
FRS37PFQIQ0Y6F,17.0,34.0,Modulo,Modulo Energies,0.777857,47.585916
FRLIBP608002342,22.0,88.0,Eoliberty,Eoliberty,2.906283,49.22342
FRS77P77233001,22.8,45.6,Bouygues E&S,Ecocharge77,2.786925,48.999126
FRS37P56KJNQES,17.0,34.0,Modulo,Modulo Energies,0.750205,47.664597
FRN54PGDJQ3BVK,22.0,88.0,Modulo,Modulo Energies,6.228898,48.658472
FRS77P77284009,100.0,200.0,Bouygues E&S,Ecocharge77,2.877952,48.958791
FROZEPACE0057810,22.0,44.0,OZECAR,OZECAR,9.3506712,41.7029109
FROZEPZPR293277,22.0,22.0,OZECAR,OZECAR,9.277737,41.604515
FRS77P77173001,22.8,60.400000000000006,Bouygues E&S,Ecocharge77,2.9343931093918036,49.03183264226434
FRS37PPND5AD7S,17.0,34.0,Modulo,Modulo Energies,0.772253,47.387383
FRS37PLTB7N3RG,17.0,34.0,Modulo,Modulo Energies,0.421643,47.382828
FRLIBP941504349,22.0,44.0,Eoliberty,Eoliberty,2.351417,48.74349
FRS77P77336001,22.8,45.6,Bouygues E&S,Ecocharge77,2.830538,48.768833
FRS77P77316004,22.8,45.6,Bouygues E&S,Ecocharge77,2.790265244,48.3798541
FRS37PVRBSA9ET,17.0,34.0,Modulo,Modulo Energies,0.995564,47.319767
FRS77P77426001,22.8,45.6,Bouygues E&S,Ecocharge77,2.828953,48.578262
FRS28PRDFHQR2W,17.0,34.0,Modulo,Modulo Energies,1.058091,48.503769
FRS77P77123001,22.8,45.6,Bouygues E&S,Ecocharge77,2.664208,48.993346
FRS37P3FNNFRAW,17.0,34.0,Modulo,Modulo Energies,1.103112,47.228849
FRS41PUTE2DZT3,17.0,34.0,Modulo,Modulo Energies,1.334115,47.589412
FRFASP50812,300.0,1200.0,Fastned France,Fastned France,6.166899,45.998903
FRS41P4492,17.0,17.0,Modulo,Modulo Energies,2.023062,47.593796
FRS37PZGSLYKQ7,17.0,34.0,Modulo,Modulo Energies,0.621325,47.407662
FRS88P0P1WRSYR,25.0,47.0,Modulo,Modulo Energies,6.43273,48.1786
FRS88PNKSBNZ3L,25.0,47.0,Modulo,Modulo Energies,6.450806,48.159733
FRS28PXW0GENEJ,17.0,17.0,Modulo,Modulo Energies,1.762427,48.506516
FRS37P221323,17.0,17.0,Modulo,Modulo Energies,1.060857,47.260997
FRS88PE4V4EUOL,24.0,46.0,Modulo,Modulo Energies,5.921854,48.309958
FRS77P77219001,22.8,45.6,Bouygues E&S,Ecocharge77,2.957987,48.822292
FRZUNP6746237616245941985,400.0,6555.099999999999,Zunder,Zunder,-0.852195,44.361374
FRS77P77118002,24.0,46.8,Bouygues E&S,Ecocharge77,2.687466,48.94600053
FRS77P77410001,22.8,45.6,Bouygues E&S,Ecocharge77,2.708959,48.58168
FRS37PI12IGFL2,17.0,34.0,Modulo,Modulo Energies,0.323531,47.017299
FRFASP50867,400.0,3200.0,Fastned France,Fastned France,2.320564,48.930868
FRS37PPRT9KPRG,17.0,34.0,Modulo,Modulo Energies,1.032124,47.540698
FROZEPDE0040B1GP4C00087P,47.0,94.0,OZECAR,SAS OZECAR,9.399962,41.8571995
FROZEP24354366,22.0,44.0,OZECAR,OZECAR,9.27536627,41.601149759
FRS37PQEHGHPZE,17.0,17.0,Modulo,Modulo Energies,0.439158,47.097181
FRS77P77212001,22.8,45.6,Bouygues E&S,Ecocharge77,3.120485,48.398468
FRS28P3YTV8B4C,17.0,17.0,Modulo,Modulo Energies,1.679122,48.607859
FRS37PMGHZK9U7,17.0,34.0,Modulo,Modulo Energies,0.252231,47.163506
FROZEPZPR304708,22.0,22.0,OZECAR,OZECAR,9.165896712,41.389000594
FRS55P2OGGYMVB,17.0,34.0,Modulo,Modulo Energies,5.388646,49.161975
FRS37PMRR00CGR,22.0,44.0,Modulo,Modulo Energies,0.670825,47.431241
FRLIBP712708355,50.0,72.0,Eoliberty,Eoliberty,5.247554,46.88355
FRS28PVU8EBNN2,17.0,17.0,Modulo,Modulo Energies,1.052668,48.14336
FRS37PFZVINBKQ,17.0,34.0,Modulo,Modulo Energies,1.026299,46.968583
FRS55PPZULVEAL,17.0,34.0,Modulo,Modulo Energies,5.39074,49.160318
FRS08PGDEGQFNZ,17.0,34.0,Modulo,Modulo Energies,5.1669,49.6304
FRS28PQF3TR3EB,17.0,17.0,Modulo,Modulo Energies,1.165894,48.21094
FRS77P77005001,22.8,45.6,Bouygues E&S,Ecocharge77,2.718575,48.924843
FRS28PXSKTHMXU,17.0,17.0,Modulo,Modulo Energies,1.470224,48.040627
FRS77P77393002,24.0,46.8,Bouygues E&S,Ecocharge77,2.963885,48.680966
FRS77P77118004,24.0,46.8,Bouygues E&S,Ecocharge77,2.6831629,48.9448571
FRS77P77363001,22.8,45.6,Bouygues E&S,Ecocharge77,2.6311901501966806,48.917186375294236
FRS77P77288003,24.0,46.8,Bouygues E&S,Ecocharge77,2.66173,48.53669
FRS37PZLJYXTQK,17.0,34.0,Modulo,Modulo Energies,0.968669,47.422511
FRS37P9ZBG8KFX,17.0,34.0,Modulo,Modulo Energies,1.092491,47.409826
FRS37PBN0CZKBD,17.0,34.0,Modulo,Modulo Energies,0.929216,46.854489
