,etat_prise_type_2,occupation_pdc,etat_prise_type_combo_ccs,etat_pdc,id,updated_at,etat_prise_type_chademo,point_de_charge_id,created_at,etat_prise_type_ef,horodatage
0,null,libre,fonctionnel,en_service,deb4f26b-3a32-40e8-a778-a9229aa539f5,2025-05-30 07:59:58.306620+02:00,null,5c8f677d-47f4-4d84-924b-3b45d48e1e65,2025-05-30 07:59:58.306608+02:00,null,2025-05-30T07:59:58.188945+02:00
1,null,occupe,fonctionnel,en_service,22f68d8e-7193-4b3d-bea1-c4d5aeb0aa57,2025-05-30 07:59:44.786589+02:00,null,59e92fe8-6c13-407b-aab8-bce875fc02b5,2025-05-30 07:59:44.786569+02:00,null,2025-05-30T07:59:44.67284+02:00
2,null,occupe,fonctionnel,en_service,6f8a7bba-e2e5-4a9a-95ca-52f57cfcfc9d,2025-05-30 07:59:40.221631+02:00,null,1bb3dbab-f9b8-42ad-bed0-90a64db7c62d,2025-05-30 07:59:40.221616+02:00,null,2025-05-30T07:59:40.041863+02:00
3,fonctionnel,occupe,null,en_service,20f23499-9941-4e34-8c04-4a0b549fdd06,2025-05-30 07:59:36.034757+02:00,null,7c1a971f-4036-4ba5-aa32-2ee7214b76da,2025-05-30 07:59:36.034744+02:00,null,2025-05-30T07:59:35.903065+02:00
4,null,occupe,fonctionnel,en_service,b4378921-ff30-46ac-9d48-7dc778e98e48,2025-05-30 07:59:34.901959+02:00,null,14b786e8-ac0a-431b-a971-bb67d9cff283,2025-05-30 07:59:34.901945+02:00,null,2025-05-30T07:59:34.758929+02:00
5,null,occupe,fonctionnel,en_service,73c56ae3-ef16-46c7-a8c5-785d61ce0477,2025-05-30 07:59:29.983498+02:00,null,04d50c8f-3e79-40ff-b81b-579d52cf79e2,2025-05-30 07:59:29.983483+02:00,null,2025-05-30T07:59:29.857677+02:00
6,null,libre,fonctionnel,en_service,0edc0fbf-ad05-4976-8b62-7f915eb682ff,2025-05-30 07:59:27.759935+02:00,null,def2bb5d-ca2d-4683-b448-e090745f7377,2025-05-30 07:59:27.759921+02:00,null,2025-05-30T07:59:27.633036+02:00
7,null,occupe,fonctionnel,en_service,34469c1c-50a8-4404-9048-4b6f2ce8be99,2025-05-30 07:58:28.420547+02:00,null,9d117de8-51f9-4b0b-9d31-398e6c9ea4d6,2025-05-30 07:58:28.420533+02:00,null,2025-05-30T07:58:28.280513+02:00
8,null,libre,fonctionnel,en_service,0b8c86c1-bace-4615-9d46-c10030042eb8,2025-05-30 07:57:59.981140+02:00,null,e5f4b0cf-97e6-4ced-926c-da1c24bae78b,2025-05-30 07:57:59.981126+02:00,null,2025-05-30T07:57:59.829955+02:00
9,null,libre,fonctionnel,en_service,87c473f4-026d-435b-a4df-dfad770c8e6f,2025-05-30 07:57:50.471572+02:00,null,0ce5713c-b6d3-4d57-8c92-fdb85a6194e3,2025-05-30 07:57:50.471557+02:00,null,2025-05-30T07:57:50.336318+02:00
10,null,occupe,fonctionnel,en_service,0fd9f8ec-4569-4f67-a1b5-e654fc9a4764,2025-05-30 07:57:49.089870+02:00,null,c609ae99-33c9-49fa-a1dd-2911a33214ac,2025-05-30 07:57:49.089856+02:00,null,2025-05-30T07:57:48.952704+02:00
11,null,occupe,fonctionnel,en_service,e5f69961-086d-4d1d-b0ab-6d6ddde39d89,2025-05-30 07:57:42.118454+02:00,null,def2bb5d-ca2d-4683-b448-e090745f7377,2025-05-30 07:57:42.118440+02:00,null,2025-05-30T07:57:41.97909+02:00
12,null,libre,fonctionnel,en_service,b4a4e61d-900b-4350-adb0-20fcf3c1531c,2025-05-30 07:57:38.399669+02:00,null,79c2d574-d48f-4e59-8dff-cf415bf33576,2025-05-30 07:57:38.399655+02:00,null,2025-05-30T07:57:38.259469+02:00
13,null,occupe,null,en_service,482f425b-9269-4fe4-83de-cc718d9e210a,2025-05-30 07:57:32.529470+02:00,fonctionnel,79a0d4d9-0413-4ac1-8043-550623b587c0,2025-05-30 07:57:32.529456+02:00,null,2025-05-30T07:57:32.416874+02:00
14,null,occupe,fonctionnel,en_service,c18fbc2c-40b9-4269-976a-57dba0cba7de,2025-05-30 07:57:31.746569+02:00,null,f97a59ba-71c4-4b74-a735-369724d2ede5,2025-05-30 07:57:31.746556+02:00,null,2025-05-30T07:57:31.600981+02:00
15,null,libre,fonctionnel,en_service,92402eaf-5ee3-4327-9bb5-4eeaf4155e7c,2025-05-30 07:57:27.190308+02:00,null,def2bb5d-ca2d-4683-b448-e090745f7377,2025-05-30 07:57:27.190295+02:00,null,2025-05-30T07:57:27.073329+02:00
16,null,libre,fonctionnel,en_service,9ecf9d35-07fd-47ad-8e03-c55d12c0b9d6,2025-05-30 07:57:26.924130+02:00,null,e0ac590a-6b89-42a7-91d2-edeefef831a0,2025-05-30 07:57:26.924114+02:00,null,2025-05-30T07:57:26.799467+02:00
17,null,libre,fonctionnel,en_service,5f76e2bb-bad6-4a70-a4cd-716a94517259,2025-05-30 07:57:25.927976+02:00,null,8c7dd0f5-de70-4c7a-abc0-f6dcc7eb58a4,2025-05-30 07:57:25.927960+02:00,null,2025-05-30T07:57:25.800979+02:00
18,null,occupe,fonctionnel,en_service,31c1de94-7902-401b-b5a3-04f0cc76733b,2025-05-30 07:57:02.342943+02:00,null,5fa0e0ec-1b85-4cd4-bc0a-4efc56529564,2025-05-30 07:57:02.342928+02:00,null,2025-05-30T07:57:02.192389+02:00
19,fonctionnel,occupe,null,en_service,b6b2c675-07a8-40a5-b8b6-8f0e5c6101eb,2025-05-30 07:57:01.714857+02:00,null,b4aa8efd-b3ca-4984-af13-d5e740b4971f,2025-05-30 07:57:01.714840+02:00,null,2025-05-30T07:57:01.581402+02:00
20,null,occupe,fonctionnel,en_service,2fa26376-630b-4ac6-b512-c2baaae8c493,2025-05-30 07:56:52.033142+02:00,null,4b784a07-4923-4dd6-83cd-8487d4661582,2025-05-30 07:56:52.033127+02:00,null,2025-05-30T07:56:51.886142+02:00
21,null,reserve,fonctionnel,en_service,7f196275-5c0c-4c0e-9fe7-97c629a5e304,2025-05-30 07:56:49.541058+02:00,null,8c7dd0f5-de70-4c7a-abc0-f6dcc7eb58a4,2025-05-30 07:56:49.541045+02:00,null,2025-05-30T07:56:49.376288+02:00
22,null,reserve,fonctionnel,en_service,299cfb73-8b45-4ccb-ae80-e55b0dc2b5e3,2025-05-30 07:56:49.463447+02:00,null,1c662659-3571-46bf-a19a-48ad7aa598c7,2025-05-30 07:56:49.463433+02:00,null,2025-05-30T07:56:49.314025+02:00
23,null,occupe,fonctionnel,en_service,fc1f2bb1-f8f6-4914-a1a8-a9447fd03d60,2025-05-30 07:56:36.059883+02:00,null,fceac019-d680-43f2-971f-a6d91b1144b2,2025-05-30 07:56:36.059868+02:00,null,2025-05-30T07:56:35.922115+02:00
24,null,libre,fonctionnel,en_service,8b25ec72-21ea-4769-9906-ac1994de7100,2025-05-30 07:56:34.511664+02:00,null,df5fdda4-a1d5-4d8b-8237-6a31ebb53e7b,2025-05-30 07:56:34.511650+02:00,null,2025-05-30T07:56:34.385421+02:00
25,null,occupe,fonctionnel,en_service,edae8f43-3940-4ec3-b7b6-a20434d9a948,2025-05-30 07:56:29.994239+02:00,null,ab181550-813d-491c-9979-bb2c33e5023e,2025-05-30 07:56:29.994226+02:00,null,2025-05-30T07:56:29.865672+02:00
26,null,libre,null,en_service,9f1b2d21-b761-4fd5-b62e-3075286a23a5,2025-05-30 07:56:29.173814+02:00,fonctionnel,79a0d4d9-0413-4ac1-8043-550623b587c0,2025-05-30 07:56:29.173799+02:00,null,2025-05-30T07:56:29.027294+02:00
